Fecha,Caudal,Zscore,Caudal_sin_cap,Caudal_log,Caudal_boxcox,Caudal_diff
2010-01-01,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,
2010-01-02,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-03,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-04,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-05,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-06,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-07,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-08,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-09,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-10,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-11,1.196,1.4242499768231214,1.196,0.7866375236472842,0.1919129109401762,0.0
2010-01-12,1.196,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,1.1940000000000002
2010-01-13,1.196,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-14,1.196,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-15,1.2402222222222221,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-16,1.2844444444444445,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-17,1.3286666666666667,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-18,1.3728888888888888,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-19,1.417111111111111,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-20,1.4613333333333334,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-21,1.5055555555555555,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-22,1.5497777777777777,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-23,1.5939999999999999,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-24,1.6382222222222222,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-25,1.6824444444444444,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-26,1.7266666666666666,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-27,1.770888888888889,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-28,1.8151111111111111,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-29,1.8593333333333333,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-30,1.9035555555555557,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-01-31,1.9477777777777778,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-01,1.992,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-02,2.0362222222222224,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-03,2.0804444444444443,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-04,2.1246666666666667,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-05,2.1688888888888886,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-06,2.213111111111111,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-07,2.2573333333333334,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-08,2.301555555555556,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-09,2.3457777777777777,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-10,2.39,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
2010-02-11,2.335,0.6779845171696461,2.39,1.220829921392359,1.241893179824333,0.0
